,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
590,Marion Reneau,7.0,-110,5,3,0,0.0,0,0,39,14,0.35,0,35,62,0,0,0,41,167.64,Orthodox,172.72,135,2,2
591,Alejandro Perez,13.0,-175,6,2,0,0.0,2,0,214,53,0.24,0,53,214,0,0,0,28,167.64,Orthodox,170.18,135,3,0
592,Alexander Volkanovski,,-220,4,0,0,0.16,12,2,144,100,0.69,2,103,147,3,0,0,29,167.64,Orthodox,180.34,145,2,0
593,Said Nurmagomedov,,-115,0,0,0,0.9,11,1,113,65,0.57,0,86,134,0,0,0,26,172.72,Orthodox,177.8,135,0,0
594,Raoni Barcelos,,145,0,0,0,0.75,4,3,146,82,0.56,1,95,160,0,1,0,31,170.18,Orthodox,170.18,135,0,0
595,Jennifer Maia,,-105,0,0,0,0.0,0,0,104,42,0.4,0,55,118,0,0,0,29,162.56,Orthodox,162.56,125,0,0
596,Elias Garcia,,-135,0,0,0,0.0,0,0,54,19,0.35,0,41,76,0,0,0,25,165.1,Southpaw,170.18,125,0,0
597,Jodie Esquibel,,-170,0,1,0,0.0,2,0,190,81,0.42,0,81,190,0,0,0,32,154.94,Orthodox,162.56,115,0,0
598,Leon Edwards,13.0,-255,7,2,0,0.0,4,0,166,84,0.5,0,101,185,0,0,0,26,182.88,Southpaw,187.96,170,2,1
599,Tyson Pedro,13.0,-145,3,1,0,0.0,4,0,12,9,0.75,1,10,13,1,0,0,26,190.5,Orthodox,200.66,205,1,2
600,Jessica Eye,10.0,145,2,6,0,0.5,2,1,225,67,0.29,0,74,232,0,2,0,31,167.64,Orthodox,167.64,125,0,0
601,Petr Yan,,-600,0,0,0,0.0,0,0,40,25,0.62,2,29,45,0,1,0,25,170.18,Switch,170.18,135,0,0
602,Song Yadong,,-115,1,0,0,1.0,1,1,100,39,0.39,1,88,155,1,3,0,20,172.72,Orthodox,170.18,135,0,1
603,Shane Young,,-165,0,1,0,0.2,5,1,215,104,0.48,0,116,230,0,1,0,24,172.72,Orthodox,182.88,145,0,0
604,Jake Matthews,,-600,6,3,0,1.0,1,1,19,12,0.63,0,18,25,1,2,0,23,180.34,Orthodox,185.42,170,0,3
605,Naoki Inoue,,-190,1,0,0,0.0,1,0,196,48,0.24,0,64,212,0,0,0,21,175.26,Orthodox,180.34,125,0,0
606,Melinda Fabian,,150,0,1,0,0.0,1,0,173,72,0.41,0,79,180,0,0,0,30,167.64,Orthodox,167.64,125,0,0
607,Darren Till,8.0,130,4,1,0,0.0,0,0,126,38,0.3,1,40,129,0,0,0,25,182.88,Southpaw,187.96,170,2,0
608,Craig White,,525,0,0,0,0.0,2,0,17,6,0.35,0,13,28,0,0,0,27,187.96,Orthodox,193.04,170,0,0
609,Mads Burnell,,205,1,1,0,0.5,12,6,56,20,0.35,0,70,120,0,4,0,24,172.72,Orthodox,175.26,145,0,0
610,Makwan Amirkhani,,150,3,1,0,0.6,5,3,62,27,0.43,0,32,68,0,2,0,29,177.8,Southpaw,182.88,145,1,1
611,Nordine Taleb,,-400,6,2,0,0.5,2,1,12,6,0.5,0,6,12,0,0,0,36,185.42,Orthodox,187.96,170,2,0
612,Darren Stewart,,140,0,4,0,0.0,0,0,90,34,0.37,1,34,90,0,0,0,27,182.88,Orthodox,187.96,185,0,0
613,Tom Breese,,-380,3,1,0,0.0,0,0,44,23,0.52,1,23,44,0,0,0,26,190.5,Southpaw,185.42,185,2,0
614,Gina Mazany,15.0,-160,1,1,0,1.0,2,2,89,38,0.42,0,112,178,0,0,0,29,167.64,Southpaw,172.72,135,0,0
615,Molly McCann,,-155,0,0,0,0.0,0,0,33,10,0.3,0,10,33,0,0,0,28,162.56,Orthodox,157.48,125,0,0
616,Trevor Smith,,320,5,4,0,0.27,11,3,81,41,0.5,0,82,123,0,0,0,37,190.5,Orthodox,190.5,185,0,0
617,Kamaru Usman,7.0,-525,7,0,0,0.0,0,0,209,66,0.31,1,97,244,0,0,0,31,182.88,Switch,193.04,170,1,1
618,Tatiana Suarez,12.0,-550,2,0,0,0.66,3,2,9,2,0.22,0,4,11,1,4,0,27,165.1,Southpaw,167.64,115,0,1
619,Dominick Reyes,,-220,1,0,0,0.0,1,0,52,20,0.38,1,21,53,0,0,0,28,193.04,Southpaw,195.58,205,0,1
620,Guido Cannetti,,155,1,2,0,0.33,3,1,53,25,0.47,0,44,75,1,4,1,38,167.64,Southpaw,172.72,135,0,0
621,Andrea Lee,,-340,0,0,0,0.6,5,3,93,56,0.6,0,87,131,2,8,0,29,167.64,Orthodox,175.26,125,0,0
622,Chad Laprise,,195,6,2,0,0.0,1,0,29,13,0.44,0,14,30,0,0,0,31,177.8,Orthodox,180.34,170,3,0
623,Michel Prazeres,,165,8,2,0,0.33,9,3,76,30,0.39,0,32,78,0,3,0,36,167.64,Orthodox,170.18,170,0,2
624,Alexandre Pantoja,12.0,-110,2,1,0,0.0,0,0,168,79,0.47,0,96,187,0,2,0,28,165.1,Orthodox,170.18,125,0,1
625,Syuri Kondo,,164,1,0,0,0.0,0,0,3,2,0.66,0,2,3,0,0,0,29,162.56,Orthodox,167.64,115,0,0
